Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
108,Brian Carroll\Brian-Carroll,us USA,MF,Philadelphia,35,1981,1,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
109,Dennis Castillo\Dennis-Castillo,cr CRC,DF,Colorado,23,1993,3,3,243,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
110,Cordell Cato\Cordell-Cato,tt TRI,DFMF,San Jose,24,1992,15,13,1135,12.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
111,Darwin Cerén\Darwin-Ceren,sv SLV,MF,San Jose,27,1989,21,19,1643,18.3,0,1,0,0,0,2,3,0.00,0.05,0.05,0.00,0.05,Matches
112,Carlos Cermeño\Carlos-Cermeno,ve VEN,MF,FC Dallas,21,1995,8,3,318,3.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
113,Maxime Chanot\Maxime-Chanot,lu LUX,DF,NYCFC,27,1989,19,19,1710,19.0,2,0,2,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches
114,Jay Chapman\Jay-Chapman,ca CAN,MFFW,Toronto FC,23,1994,12,3,391,4.3,1,0,1,0,0,0,0,0.23,0.00,0.23,0.23,0.23,Matches
115,Diego Chará\Diego-Chara,co COL,MF,Portland,30,1986,29,29,2529,28.1,1,1,1,0,0,8,1,0.04,0.04,0.07,0.04,0.07,Matches
116,Benoît Cheyrou\Benoit-Cheyrou,fr FRA,MF,Toronto FC,35,1981,13,7,619,6.9,1,0,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches
117,David Choinière\David-Choiniere,ca CAN,FW,Montreal,19,1997,3,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Michaël Ciani\Michael-Ciani,fr FRA,DF,LA Galaxy,32,1984,6,6,540,6.0,1,0,1,0,0,3,0,0.17,0.00,0.17,0.17,0.17,Matches
119,Laurent Ciman\Laurent-Ciman,be BEL,DF,Montreal,31,1985,30,30,2700,30.0,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches
120,Ricardo Clark\Ricardo-Clark,us USA,MF,Houston,33,1983,28,26,2245,24.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Steve Clark\Steve-Clark,us USA,GK,D.C. United,30,1986,5,5,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
122,Ashley Cole\Ashley-Cole,eng ENG,DF,LA Galaxy,36,1980,29,29,2498,27.8,1,2,1,0,0,0,1,0.04,0.07,0.11,0.04,0.11,Matches
123,Aurélien Collin\Aurelien-Collin,fr FRA,DF,NY Red Bulls,30,1986,9,7,545,6.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
124,Cristian Colmán\Cristian-Colman,py PAR,FW,FC Dallas,22,1994,26,10,966,10.7,2,1,2,0,0,1,0,0.19,0.09,0.28,0.19,0.28,Matches
125,Drew Conner\Drew-Conner,us USA,MFDF,Chicago,22,1994,21,8,890,9.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
126,Armando Cooper\Armando-Cooper,pa PAN,MFFW,Toronto FC,29,1987,19,10,908,10.1,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches
127,Coy Craft\Coy-Craft,us USA,FWMF,FC Dallas,19,1997,1,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Warren Creavalle\Warren-Creavalle,us USA,MF,Philadelphia,26,1990,13,5,549,6.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
129,Maxime Crépeau\Maxime-Crepeau,ca CAN,GK,Montreal,22,1994,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
130,Alex Crognale\Alex-Crognale,us USA,DF,Columbus,22,1994,17,12,1071,11.9,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
131,Sam Cronin\Sam-Cronin,us USA,MF,Minnesota,30,1986,18,18,1549,17.2,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,Matches
132,Sam Cronin\Sam-Cronin,us USA,MF,Colorado,30,1986,3,3,261,2.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Cody Cropper\Cody-Cropper,us USA,GK,New England,23,1993,28,28,2520,28.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
134,Abu Danladi\Abu-Danladi,gh GHA,FWMF,Minnesota,21,1995,27,15,1393,15.5,8,2,8,0,0,4,1,0.52,0.13,0.65,0.52,0.65,Matches
135,Juan David Cabezas\Juan-David-Cabezas,co COL,MF,Houston,25,1991,27,26,2229,24.8,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches
136,Alphonso Davies\Alphonso-Davies,ca CAN,MF,Vancouver,16,2000,26,9,1065,11.8,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches
137,Charlie Davies\Charlie-Davies,us USA,FW,Philadelphia,30,1986,3,0,26,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
138,Justin Davis\Justin-Davis,us USA,DF,Minnesota,28,1988,8,5,495,5.5,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
139,Sean Davis\Sean-Davis,us USA,MFFW,NY Red Bulls,23,1993,27,21,1788,19.9,2,2,2,0,0,5,0,0.10,0.10,0.20,0.10,0.20,Matches
140,Simon Dawkins\Simon-Dawkins,jm JAM,MF,San Jose,29,1987,14,7,639,7.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Christian Dean\Christian-Dean,us USA,DF,Chicago,23,1993,3,2,221,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Christian Dean\Christian-Dean,us USA,DF,Vancouver,23,1993,3,3,238,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
143,A.J. DeLaGarza\AJ-DeLaGarza,gu GUM,DF,Houston,29,1987,30,30,2622,29.1,0,3,0,0,0,8,0,0.00,0.10,0.10,0.00,0.10,Matches
144,Antonio Delamea Mlinar\Antonio-Delamea-Mlinar,si SVN,DF,New England,25,1991,29,29,2546,28.3,1,2,1,0,0,6,1,0.04,0.07,0.11,0.04,0.11,Matches
145,Jordy Delem\Jordy-Delem,mq MTQ,DFMF,Seattle,23,1993,14,9,755,8.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
146,Nick DeLeon\Nick-DeLeon,us USA,DFMF,D.C. United,26,1990,19,18,1591,17.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
147,Marky Delgado\Marky-Delgado,us USA,MF,Toronto FC,21,1995,26,25,2063,22.9,3,2,3,0,0,1,1,0.13,0.09,0.22,0.13,0.22,Matches
148,Vadim Demidov\Vadim-Demidov,no NOR,DF,Minnesota,30,1986,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
149,Clint Dempsey\Clint-Dempsey,us USA,MFFW,Seattle,33,1983,29,25,2278,25.3,12,4,10,2,3,3,1,0.47,0.16,0.63,0.40,0.55,Matches
150,Nick DePuy\Nick-DePuy,us USA,FW,Montreal,22,1994,5,1,131,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
151,Tyler Deric\Tyler-Deric,us USA,GK,Houston,28,1988,26,26,2340,26.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
152,Bradley Diallo\Bradley-Diallo,fr FRA,DF,LA Galaxy,26,1990,18,15,1383,15.4,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,Matches
153,Mauro Díaz\Mauro-Diaz,ar ARG,MF,FC Dallas,25,1991,19,13,1104,12.3,2,3,0,2,3,0,0,0.16,0.24,0.41,0.00,0.24,Matches
