Player,Min,year,PlayerName,PlayerID
Jack McBean\Jack-McBean,100,2016,Jack McBean,Jack-McBean
Jack McInerney\Jack-McInerney,912,2016,Jack McInerney,Jack-McInerney
Jacob Peterson\Jacob-Peterson,1491,2016,Jacob Peterson,Jacob-Peterson
Jake Gleeson\Jake-Gleeson,2479,2016,Jake Gleeson,Jake-Gleeson
Jalen Robinson\Jalen-Robinson,272,2016,Jalen Robinson,Jalen-Robinson
Jalil Anibaba\Jalil-Anibaba,2616,2016,Jalil Anibaba,Jalil-Anibaba
Jared Jeffrey\Jared-Jeffrey,1317,2016,Jared Jeffrey,Jared-Jeffrey
Jared Watts\Jared-Watts,1648,2016,Jared Watts,Jared-Watts
Jason Hernandez\Jason-Hernandez,2293,2016,Jason Hernandez,Jason-Hernandez
Javier Morales\Javier-Morales,2227,2016,Javier Morales,Javier-Morales
Jay Chapman\Jay-Chapman,784,2016,Jay Chapman,Jay-Chapman
Je-Vaughn Watson\Je-Vaughn-Watson,1707,2016,Je-Vaughn Watson,Je-Vaughn-Watson
Jeff Attinella\Jeff-Attinella,360,2016,Jeff Attinella,Jeff-Attinella
Jeff Larentowicz\Jeff-Larentowicz,1502,2016,Jeff Larentowicz,Jeff-Larentowicz
Jefferson Mena\Jefferson-Mena,1304,2016,Jefferson Mena,Jefferson-Mena
Jelle Van Damme\Jelle-Van-Damme,2432,2016,Jelle Van Damme,Jelle-Van-Damme
Jermaine Jones\Jermaine-Jones,723,2016,Jermaine Jones,Jermaine-Jones
Jermaine Taylor\Jermaine-Taylor,1839,2016,Jermaine Taylor,Jermaine-Taylor
Jesse Gonzalez\Jesse-Gonzalez,537,2016,Jesse Gonzalez,Jesse-Gonzalez
Jimmy Medranda\Jimmy-Medranda,1937,2016,Jimmy Medranda,Jimmy-Medranda
Joao Plata\Joao-Plata,2472,2016,Joao Plata,Joao-Plata
Joe Bendik\Joe-Bendik,3060,2016,Joe Bendik,Joe-Bendik
Joe Willis\Joe-Willis,2276,2016,Joe Willis,Joe-Willis
Joevin Jones\Joevin-Jones,2545,2016,Joevin Jones,Joevin-Jones
Joey Calistri\Joey-Calistri,357,2016,Joey Calistri,Joey-Calistri
Johan Kappelhof\Johan-Kappelhof,2790,2016,Johan Kappelhof,Johan-Kappelhof
Johan Venegas\Johan-Venegas,690,2016,Johan Venegas,Johan-Venegas
John Goossens\John-Goossens,1286,2016,John Goossens,John-Goossens
John McCarthy\John-McCarthy,90,2016,John McCarthy,John-McCarthy
John Stertzer\John-Stertzer,781,2016,John Stertzer,John-Stertzer
Jonathan Campbell\Jonathan-Campbell,2824,2016,Jonathan Campbell,Jonathan-Campbell
Jonathan Osorio\Jonathan-Osorio,2437,2016,Jonathan Osorio,Jonathan-Osorio
Jordan Allen\Jordan-Allen,1107,2016,Jordan Allen,Jordan-Allen
Jordan Hamilton\Jordan-Hamilton,908,2016,Jordan Hamilton,Jordan-Hamilton
Jordan Harvey\Jordan-Harvey,2520,2016,Jordan Harvey,Jordan-Harvey
Jordan Morris\Jordan-Morris,2850,2016,Jordan Morris,Jordan-Morris
Jordan Smith\Jordan-Smith,1266,2016,Jordan Smith,Jordan-Smith
Jordan Stewart\Jordan-Stewart,1220,2016,Jordan Stewart,Jordan-Stewart
Jordi Quintillà\Jordi-Quintilla,407,2016,Jordi Quintillà,Jordi-Quintilla
Jose Villarreal\Jose-Villarreal,19,2016,Jose Villarreal,Jose-Villarreal
Joseph Greenspan\Joseph-Greenspan,1,2016,Joseph Greenspan,Joseph-Greenspan
Josh Saunders\Josh-Saunders,2970,2016,Josh Saunders,Josh-Saunders
Josh Williams\Josh-Williams,916,2016,Josh Williams,Josh-Williams
Joshua Yaro\Joshua-Yaro,1326,2016,Joshua Yaro,Joshua-Yaro
José Aja\Jose-Aja,830,2016,José Aja,Jose-Aja
José Escalante\Jose-Escalante,110,2016,José Escalante,Jose-Escalante
José Gonçalves\Jose-Goncalves,2519,2016,José Gonçalves,Jose-Goncalves
Jozy Altidore\Jozy-Altidore,1488,2016,Jozy Altidore,Jozy-Altidore
João Meira\Joao-Meira,2282,2016,João Meira,Joao-Meira
Juan Agudelo\Juan-Agudelo,1347,2016,Juan Agudelo,Juan-Agudelo
